brand,model,trans.,fuel,millage,disp.,year
Bmw,320i,Automatic,Petrol,167300,2000,2008
Suzuki,Escudo,Automatic,Petrol,68000,2390,2011
Suzuki,Swift,Automatic,Petrol,125000,1300,2009
Nissan,Murano,Automatic,Petrol,102000,2480,2007
Mercedes-benz,C200,Automatic,Petrol,85000,1800,2013
Mitsubishi,Mirage,Automatic,Petrol,92000,1000,2013
Toyota,Harrier,Automatic,Petrol,52199,2000,2014
Mazda,Cx-5,Automatic,Petrol,77000,1990,2013
Nissan,Dualis,Automatic,Petrol,80000,1600,2013
Toyota,Fielder,Automatic,Petrol,120000,1500,2013
Nissan,Navara,Manual,Diesel,135000,2500,2011
Subaru,Impreza,Automatic,Petrol,166478,2000,2013
Toyota,Harrier,Automatic,Petrol,114000,2000,2014
Toyota,Harrier,Automatic,Petrol,74000,2000,2014
Toyota,Vitz,Automatic,Petrol,95000,1300,2013
Nissan,X-trail,Automatic,Petrol,108000,2000,2013
Toyota,Vanguard,Automatic,Petrol,89040,2400,2013
Nissan,Note,Automatic,Petrol,104441,1200,2013
Nissan,Dualis,Automatic,Petrol,86887,2000,2013
Toyota,Harrier,Automatic,Petrol,88200,2000,2013
Mazda,Cx-5,Automatic,Petrol,104000,2000,2013
Nissan,X-trail,Automatic,Petrol,48000,2000,2014
Mitsubishi,Outlander,Automatic,Petrol,132000,2400,2006
Mitsubishi,L200,Manual,Diesel,70000,2400,2017
Nissan,Hardbody,Manual,Diesel,54678,2500,2014
Volkswagen,Golf,Automatic,Petrol,98369,1200,2013
Mitsubishi,Outlander,Automatic,Petrol,54000,2400,2013
Toyota,Hiace,Automatic,Petrol,114000,2700,2013
Mitsubishi,Rvr,Automatic,Petrol,103000,1790,2014
Subaru,Outback,Automatic,Petrol,76000,2500,2013
Subaru,Forester,Automatic,Petrol,85000,2000,2013
Toyota,Harrier,Automatic,Petrol,88000,2000,2014
Mazda,Cx-5,Automatic,Petrol,71000,1990,2014
Honda,Cr-v,Automatic,Petrol,113000,2400,2013
Toyota,Harrier,Automatic,Petrol,70000,1990,2014
Volkswagen,Tiguan,Automatic,Petrol,60000,2000,2013
Subaru,Forester,Automatic,Petrol,98000,2000,2013
Nissan,Note,Automatic,Petrol,91624,1200,2012
Mercedes-benz,Cla-class,Automatic,Petrol,56000,2000,2014
Toyota,Vitz,Automatic,Petrol,105000,1300,2013
Toyota,Hilux,Automatic,Diesel,166203,3000,2014
Mazda,Cx-5,Automatic,Petrol,59000,2000,2014
Nissan,Juke,Automatic,Petrol,90616,1500,2013
Toyota,Passo,Automatic,Petrol,105051,1000,2013
Toyota,Rush,Automatic,Petrol,61000,1500,2011
Honda,Cr-v,Automatic,Petrol,89000,1990,2014
Nissan,X-trail,Automatic,Petrol,76000,2000,2013
Nissan,Elgrand,Automatic,Petrol,107305,2480,2012
Nissan,Note,Automatic,Petrol,78000,1500,2013
Subaru,Xv,Automatic,Petrol,72434,2000,2013
Mercedes-benz,E250,Automatic,Petrol,88000,1990,2013
Mitsubishi,Outlander,Automatic,Petrol,36000,2400,2014
Toyota,Vitz,Automatic,Petrol,102000,1300,2013
Volkswagen,Tiguan,Automatic,Petrol,125000,2000,2013
Toyota,Harrier,Automatic,Petrol,94000,2000,2014
Mazda,Cx-5,Automatic,Diesel,71773,2200,2013
Toyota,Rush,Automatic,Petrol,112000,1500,2013
Toyota,Harrier,Automatic,Petrol,72000,2000,2014
Toyota,Hilux,Automatic,Diesel,75000,3000,2013
Toyota,Allion,Automatic,Petrol,90000,1800,2013
Volkswagen,Tiguan,Automatic,Petrol,43950,2000,2015
Mazda,Cx-5,Automatic,Diesel,50000,2200,2014
Suzuki,Swift,Automatic,Petrol,80000,1300,2010
Volkswagen,Tiguan,Automatic,Petrol,60000,2000,2013
Toyota,Harrier,Automatic,Petrol,71000,2000,2014
Toyota,Probox,Automatic,Petrol,152277,1300,2013
Volkswagen,Tiguan,Automatic,Petrol,69187,2000,2013
Toyota,Succeed,Automatic,Petrol,134000,1490,2015
Toyota,Rav4,Automatic,Petrol,73000,2500,2013
Nissan,Juke,Automatic,Petrol,56000,1500,2014
Mazda,Demio,Automatic,Petrol,136843,1300,2013
Toyota,Townace,Automatic,Petrol,146000,1500,2013
Toyota,Rumion,Automatic,Petrol,80000,1800,2013
Nissan,March,Automatic,Petrol,91000,1200,2013
Mitsubishi,Mirage,Automatic,Petrol,114000,1000,2013
Toyota,Rav4,Automatic,Petrol,119030,2400,2013
Toyota,Axio,Automatic,Petrol,95000,1500,2013
Toyota,Auris,Automatic,Petrol,54000,1500,2015
Mitsubishi,Galant,Automatic,Petrol,79000,1800,2013
Mazda,Cx-5,Automatic,Diesel,90000,2200,2013
Mitsubishi,Pajero,Automatic,Diesel,65000,3000,2011
Subaru,Forester,Automatic,Petrol,137008,2000,2013
Toyota,Rav4,Automatic,Petrol,83000,2400,2013
Mitsubishi,Galant,Automatic,Petrol,93317,1800,2013
Mazda,Bongo,Automatic,Petrol,114000,1800,2013
Mazda,Cx-5,Automatic,Petrol,91000,2000,2013
Nissan,Juke,Automatic,Petrol,91580,1500,2013
Toyota,Harrier,Automatic,Petrol,87000,2000,2015
Toyota,Harrier,Automatic,Petrol,77000,2000,2014
Mazda,Premacy,Automatic,Petrol,85988,2000,2008
Toyota,Ist,Automatic,Petrol,83000,1500,2008
Toyota,Crown,Automatic,Petrol,134000,2500,2007
Land rover,Range-rover,Automatic,Diesel,80000,3000,2006
Mazda,Demio,Automatic,Petrol,112000,1300,2013
Volkswagen,Tiguan,Automatic,Petrol,100637,2000,2013
Volkswagen,Golf,Automatic,Petrol,59000,2000,2013
Honda,Insight,Automatic,Petrol,80000,1330,2013
Nissan,X-trail,Automatic,Petrol,52000,2000,2014
Toyota,Harrier,Automatic,Petrol,43000,2000,2014
Toyota,Surf,Automatic,Diesel,120000,3000,2009
Volkswagen,Golf,Automatic,Petrol,97000,2000,2011
Toyota,Harrier,Automatic,Petrol,35000,2000,2015
Subaru,Outback,Automatic,Petrol,94000,2500,2013
Toyota,Hiace,Automatic,Diesel,109000,3000,2013
Subaru,Outback,Automatic,Petrol,43600,2450,2015
Subaru,Forester,Automatic,Petrol,58966,2000,2013
Nissan,Juke,Automatic,Petrol,90000,1600,2013
Nissan,X-trail,Automatic,Petrol,97000,1990,2013
Mitsubishi,Outlander,Automatic,Petrol,54000,2400,2015
Toyota,Harrier,Automatic,Petrol,71000,2000,2014
Nissan,Note,Automatic,Petrol,104312,1200,2013
Toyota,Porte,Automatic,Petrol,88860,1300,2013
Mazda,Demio,Automatic,Petrol,89000,1290,2013
Mercedes-benz,B180,Automatic,Petrol,108000,1600,2013
Toyota,Rav4,Automatic,Petrol,65000,2500,2013
Subaru,Forester,Automatic,Petrol,120000,2000,2013
Subaru,Outback,Automatic,Petrol,93850,2500,2015
Toyota,Harrier,Automatic,Petrol,44990,1997,2014
Mazda,Axela,Automatic,Petrol,77000,1500,2010
Toyota,Rav4,Automatic,Petrol,90000,2400,2013
Nissan,Note,Automatic,Petrol,102000,1200,2013
Toyota,Harrier,Automatic,Petrol,73760,2000,2014
Toyota,Harrier,Automatic,Petrol,53000,2000,2014
Toyota,Townace,Automatic,Petrol,123456,1500,2007
Toyota,Harrier,Automatic,Petrol,72000,2000,2014
Mitsubishi,Rvr,Automatic,Petrol,83000,1800,2015
Nissan,Sylphy,Automatic,Petrol,103000,1790,2013
Subaru,Forester,Automatic,Petrol,90000,2000,2013
Toyota,Auris,Automatic,Petrol,83000,1500,2013
Subaru,Forester,Automatic,Petrol,80000,2000,2014
Land rover,Discovery,Automatic,Diesel,78000,3000,2011
Land rover,Defender-110,Manual,Diesel,103456,3000,2007
Toyota,Ractis,Automatic,Petrol,83000,1300,2014
Honda,Fit,Automatic,Petrol,117000,1300,2013
Volkswagen,Golf,Automatic,Petrol,106423,1600,2013
Subaru,Forester,Automatic,Petrol,71000,2000,2013
Honda,Cr-v,Automatic,Petrol,79000,2400,2013
Toyota,Crown,Automatic,Petrol,123992,2500,2012
Toyota,Avensis,Automatic,Petrol,116000,2000,2013
Mercedes-benz,E350,Automatic,Diesel,100000,3500,2012
Mercedes-benz,C200,Automatic,Petrol,70000,1800,2013
Mercedes-benz,E250,Automatic,Petrol,83000,2000,2013
Toyota,Harrier,Automatic,Petrol,55000,2400,2012
Nissan,Note,Automatic,Petrol,83014,1300,2013
Mazda,Demio,Automatic,Petrol,116000,1300,2013
Toyota,Vitz,Automatic,Petrol,89000,1300,2013
Toyota,Harrier,Automatic,Petrol,71000,2000,2014
Mazda,Atenza,Automatic,Diesel,173000,2200,2013
Toyota,Wish,Automatic,Petrol,76815,1800,2013
Toyota,Fielder,Automatic,Petrol,88000,1500,2015
Volkswagen,Golf,Automatic,Petrol,129000,1400,2013
Toyota,Rav4,Automatic,Petrol,47273,2500,2014
Toyota,Axio,Automatic,Petrol,95377,1490,2014
Mazda,Atenza,Automatic,Petrol,96000,2000,2013
Mazda,Cx-5,Automatic,Petrol,55000,2000,2013
Toyota,Auris,Automatic,Petrol,86983,1500,2012
Mitsubishi,Outlander,Automatic,Petrol,79000,2400,2012
Toyota,Harrier,Automatic,Petrol,43000,2000,2014
Mercedes-benz,E-class,Automatic,Diesel,108000,2200,2013
Toyota,Fielder,Automatic,Petrol,71000,1500,2015
Volkswagen,Tiguan,Automatic,Petrol,64255,2000,2013
Volkswagen,Golf,Automatic,Petrol,127614,1400,2013
Subaru,Forester,Automatic,Petrol,103442,2000,2013
Subaru,Forester,Automatic,Petrol,87000,2000,2014
Toyota,Harrier,Automatic,Petrol,59241,2000,2014
Honda,Fit,Automatic,Petrol,103041,1300,2013
Toyota,Auris,Automatic,Petrol,91000,1500,2014
Subaru,Xv,Automatic,Petrol,71659,1990,2013
Nissan,Juke,Automatic,Petrol,79000,1500,2014
Nissan,X-trail,Automatic,Petrol,89000,1990,2014
Subaru,Legacy,Automatic,Petrol,138096,2000,2013
Bmw,X3,Automatic,Petrol,65000,3000,2013
Toyota,Vitz,Automatic,Petrol,116041,1300,2013
Toyota,Harrier,Automatic,Petrol,120000,2000,2014
Toyota,Vitz,Automatic,Petrol,79000,1300,2013
Toyota,Auris,Automatic,Petrol,46000,1200,2015
Subaru,Impreza,Automatic,Petrol,136000,2000,2013
Volkswagen,Tiguan,Automatic,Petrol,73678,1400,2013
Volkswagen,Golf,Automatic,Petrol,64000,1400,2014
Volkswagen,Tiguan,Automatic,Petrol,86000,2000,2013
Toyota,Rush,Automatic,Petrol,47000,1500,2014
Mazda,Cx-5,Automatic,Petrol,60148,2000,2013
Subaru,Forester,Automatic,Petrol,62000,2000,2013
Subaru,Legacy,Automatic,Petrol,69000,2000,2014
Bmw,X3,Automatic,Petrol,118000,2000,2013
Toyota,Alphard,Automatic,Petrol,90000,2400,2012
Toyota,Rush,Automatic,Petrol,48000,1500,2013
Mazda,Cx-5,Automatic,Petrol,70000,1990,2013
Toyota,Auris,Automatic,Petrol,51000,1490,2014
Nissan,Juke,Automatic,Petrol,85900,1500,2014
Toyota,Premio,Automatic,Petrol,79842,1800,2014
Toyota,Harrier,Automatic,Petrol,23030,2000,2015
Suzuki,Sx,Automatic,Petrol,63000,1500,2012
Mitsubishi,Rvr,Automatic,Petrol,97000,1800,2014
Honda,Stream,Automatic,Petrol,132000,1800,2008
Mercedes-benz,Sprinter,Manual,Diesel,159224,2143,2012
Subaru,Outback,Automatic,Petrol,76000,2500,2013
Nissan,Teana,Automatic,Petrol,81000,2500,2014
Nissan,Juke,Automatic,Petrol,89000,1500,2014
Nissan,Note,Automatic,Petrol,150000,1200,2013
Toyota,Harrier,Automatic,Petrol,70000,2000,2014
Mercedes-benz,C200,Automatic,Petrol,117421,1790,2007
Subaru,Xv,Automatic,Petrol,104000,2000,2013
Nissan,X-trail,Automatic,Petrol,87000,2000,2014
Volkswagen,Tiguan,Automatic,Petrol,73000,2000,2013
Nissan,March,Automatic,Petrol,154543,1200,2013
Mazda,Verisa,Automatic,Petrol,61745,1500,2013
Subaru,Impreza,Automatic,Petrol,76000,2000,2013
Subaru,Impreza,Automatic,Petrol,57000,2000,2014
Volkswagen,Tiguan,Automatic,Petrol,70000,2000,2013
Nissan,Teana,Automatic,Petrol,128374,2450,2010
Subaru,Impreza,Automatic,Petrol,91197,1600,2013
Volkswagen,Touran,Automatic,Petrol,90213,1400,2013
Nissan,March,Automatic,Petrol,92000,1190,2013
Nissan,Sylphy,Automatic,Petrol,67000,1800,2013
Toyota,Vitz,Manual,Petrol,81000,1500,2013
Mazda,Cx-5,Automatic,Petrol,58000,2000,2013
Toyota,Fielder,Automatic,Petrol,125000,1500,2014
Toyota,Harrier,Automatic,Petrol,76000,2000,2014
Toyota,Vanguard,Automatic,Petrol,72000,2400,2013
Toyota,Succeed,Automatic,Petrol,173000,1490,2013
Toyota,Wish,Automatic,Petrol,125000,1800,2013
Toyota,Auris,Automatic,Petrol,87000,1500,2013
Nissan,Dualis,Automatic,Petrol,76000,2000,2013
Toyota,Wish,Automatic,Petrol,83000,1990,2013
Nissan,X-trail,Automatic,Petrol,74384,1998,2014
Volkswagen,Golf,Automatic,Petrol,80000,1400,2014
Toyota,Noah,Automatic,Petrol,102000,2000,2013
Nissan,X-trail,Automatic,Petrol,71000,2000,2014
Subaru,Forester,Automatic,Petrol,88000,2000,2013
Subaru,Forester,Automatic,Petrol,93000,2000,2013
Toyota,Rush,Automatic,Petrol,111000,1490,2014
Bmw,X3,Automatic,Diesel,81000,2000,2013
Mercedes-benz,E250,Automatic,Petrol,72000,1990,2013
Toyota,Premio,Automatic,Petrol,40000,1800,2013
Mitsubishi,Outlander,Automatic,Petrol,60000,2400,2013
Subaru,Forester,Automatic,Petrol,114270,2000,2013
Subaru,Forester,Automatic,Petrol,70000,1990,2014
Nissan,Sylphy,Automatic,Petrol,119000,1800,2013
Honda,Cr-v,Automatic,Petrol,65000,2350,2013
Toyota,Premio,Automatic,Petrol,41000,1800,2013
Toyota,Spade,Automatic,Petrol,74275,1500,2013
Mazda,Axela,Automatic,Petrol,90000,1500,2013
Toyota,Auris,Automatic,Petrol,50830,1490,2014
Land rover,Discovery-iii,Automatic,Diesel,259000,3000,2009
Nissan,Hardbody,Manual,Petrol,145000,2300,2009
Toyota,Bb,Automatic,Petrol,112000,1300,2011
